Ime,Država,Spodnja višina [m],Zgornja višina [m],Dolžina prog [km],Dolžina črnih prog [km],Dolžina modrih prog [km],Število žičnic,Cena [€]
Hirmentaz/Les Habères – Bellevaux/Habère-Poche,Francija,920,1576,50,3,10,22,33
Tarvisio – Monte Lussari,Italija,754,1752,23.1,8.4,6.4,13,44
Balme/Les Autannes – Vallorcine/Le Tour,Francija,1453,2250,29,0,13,13,71
Carì,Švica,1650,2280,20,4,8,4,51
Kitzbüheler Horn,Avstrija,770,2000,17,2,6,10,52
Les Marécottes (Salvan),Švica,1110,2220,9,1.3,2.7,4,57
Montecampione – Alpiaz/Prato Secondino/Plan di Montecampione,Italija,1149,1841,30,5.3,3.7,10,30
Colere,Italija,1060,2178,21.3,9.5,0.1,5,48
Le Collet d'Allevard,Francija,1450,2140,35,2,20,11,27
Valmalenco – Alpe Palù,Italija,1527,2353,21.3,5.1,4.1,9,55
Braunwald,Švica,1236,1901,26,2,6,10,57
Les Brasses,Francija,900,1500,37,3.5,18.5,12,32
Evolène,Švica,1404,2632,41.1,14.6,15.5,5,51
Wasserngrat – Gstaad,Švica,1275,1940,9.3,2.2,0,Ni podatka,89
Macugnaga,Italija,1347,2900,32.1,3,7,9,32
Pesciüm – Airolo,Švica,1175,2250,30,14,1,8,Ni podatka
Kristberg – Silbertal,Avstrija,889,1589,7.8,4.2,2.4,4,50.40
Abriès,Francija,1450,2450,33,3,15,7,38.60
Nax – Mont-Noble,Švica,1495,2640,35,0,15,6,58
Kaiseregg/Riggisalp – Schwarzsee,Švica,1047,1751,20,3,10.5,6,49
Pralognan la Vanoise,Francija,1410,2355,26,2,7,12,38
Cerkno,Slovenija,935,1287,18,1,9,7,42
Moléson,Švica,1109,1978,30,7,19,6,45
Präbichl – Vordernberg,Avstrija,1100,1608,20,3,6,6,51.50
Champorcher,Italija,1440,2500,13.6,3.4,0.7,7,35
San Bernardino,Švica,1642,2515,34,3,14,10,52
Sangiacomo/Cardini – Monte Alpet,Italija,1098,1611,35,10,13,8,24
La Braye – Château d'Oex,Švica,1215,1630,28.5,8,10.5,7,Ni podatka
Padola – Ski Area Comelico,Italija,1211,1943,8.3,2.8,3.5,2,Ni podatka
